year,country,population
2009,Canada,33630069.0
2010,Canada,34005902.0
2011,Canada,34339221.0
2012,Canada,34713395.0
2013,Canada,35080992.0
2014,Canada,35434066.0
2015,Canada,35704498.0
2016,Canada,36110803.0
2017,Canada,36545075.0
2018,Canada,37072620.0
2019,Canada,37618495.0
2020,Canada,38028638.0
2021,Canada,38239864.0
2022,Canada,38939056.0
2023,Canada,40097761.0
1985,United States,237924000.0
1986,United States,240133000.0
1987,United States,242289000.0
1988,United States,244499000.0
1989,United States,246819000.0
1990,United States,249623000.0
1991,United States,252981000.0
1992,United States,256514000.0
1993,United States,259919000.0
1994,United States,263126000.0
1995,United States,266278000.0
1996,United States,269394000.0
1997,United States,272657000.0
1998,United States,275854000.0
1999,United States,279040000.0
2000,United States,282162411.0
2001,United States,284968955.0
2002,United States,287625193.0
2003,United States,290107933.0
2004,United States,292805298.0
2005,United States,295516599.0
2006,United States,298379912.0
